Platform,Product,Price Current (SAR),Price Original (SAR),Discount %,Price Raw,Link
Amazon,"HP Mobile Workstation ZBook Firefly 14 G8 Laptop, 14"" FHD Laptop, Quad-Core i5-1135G7, 16GB RAM, 512GB SSD, Backlit Keyboard, Windows 11 Pro(Renewed)","25,000
.",,,"25,000
.",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo4NjA4NDk1MjU2OTg1ODQ2OjE3NzExNDc0NjM6c3BfYXRmOjMwMDg1ODcwMzA3NTEzMjo6MDo6&url=%2FHP-Workstation-ZBook-Firefly-14%2Fdp%2FB0DY7LWSFG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1771147463%26sr%3D8-1-spons%26aref%3DCX3soB16ki%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=CX3soB16ki&sp_cr=DUB
Amazon,"Dell Latitude 5420 Business Laptop, 14"" FHD Display (1920 x 1080), Intel i5-1145G7, 16GB RAM, 512GB SSD, US Keyboard, Windows 10 Pro (Renewed)","23,000
.",,,"23,000
.",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo4NjA4NDk1MjU2OTg1ODQ2OjE3NzExNDc0NjM6c3BfYXRmOjMwMDg4MzM5MDcwNjgzMjo6MDo6&url=%2FDell-Latitude-5420-Business-i5-1145G7%2Fdp%2FB0DHXLL87Z%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1771147463%26sr%3D8-2-spons%26aref%3D3zsu0Wi8ZT%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=3zsu0Wi8ZT&sp_cr=DUB
Amazon,Smart Buy ZBOOK Firefly 14 G8 I5-1135G7 16GB 256GB 14IN Windows 10 Professional 64B,"23,000
.",,,"23,000
.",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo4NjA4NDk1MjU2OTg1ODQ2OjE3NzExNDc0NjM6c3BfYXRmOjMwMDg1ODcwMzA3NDkzMjo6MDo6&url=%2FSmart-Firefly-I5-1135G7-Windows-Professional%2Fdp%2FB08X4PC711%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1771147463%26sr%3D8-3-spons%26aref%3DcbNRSQuq9g%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=cbNRSQuq9g&sp_cr=DUB
Amazon,Smart Buy ZBOOK Firefly 14 G8 I5-1145G7 16GB 256GB 14IN Windows 10 Professional 64B,"23,000
.",,,"23,000
.",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo4NjA4NDk1MjU2OTg1ODQ2OjE3NzExNDc0NjM6c3BfYXRmOjMwMDg1ODcwMzA3NTAzMjo6MDo6&url=%2FSmart-Firefly-I5-1145G7-Windows-Professional%2Fdp%2FB08X4PNRYY%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1771147463%26sr%3D8-4-spons%26aref%3DLtniAlZFEY%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=LtniAlZFEY&sp_cr=DUB
Amazon,"Dell Latitude 2in1 Laptop 5320, 13.3in FHD(1920x1080) Laptop Touchscreen 5320, Quad Core i5-11th, 8GB RAM, 256GB SSD, Win11 Pro(Renewed)","14,999
.",,,"14,999
.",https://www.amazon.eg/-/en/Dell-Latitude-1920x1080-Touchscreen-i5-11th/dp/B0DY7K98PY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-5
Amazon,"EliteBook 845 G7 Laptop, 14"" FHD Display, AMD Ryzen 5 3500U Processor, 8GB RAM, 256GB SSD, Windows 10 Pro – Imported in Good Condition with Gift Laptop Bag","14,000
.",,,"14,000
.",https://www.amazon.eg/-/en/EliteBook-Laptop-Display-Processor-Windows/dp/B0FDG9YH81/ref=sr_1_6?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-6
Amazon,"MSI Thin 15 B12UCX|i5-12450H| RTX 2050 4GB| 8GB RAM DDR4 3200Mhz | 512GB NVMe Gen4x4| 15.6"" IPS FHD 144Hz 45% NTSC Display| Blue Backlit Gaming Keyboard| DOS| Cosmos Gray| 2 Years Local Warranty","28,350
.",,,"28,350
.",https://www.amazon.eg/-/en/MSI-i5-12450H-3200Mhz-Keyboard-Warranty/dp/B0DQCLL1JR/ref=sr_1_7?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-7
Amazon,"Dell Latitude 5410 14"" FHD Business Laptop, Intel Core i5-10310U, 16GB RAM, 512GB SSD, US Keyboard, Windows 10 Pro (Renewed)","18,699
.",,,"18,699
.",https://www.amazon.eg/-/en/Dell-Latitude-5410-Business-i5-10310U/dp/B0CZRCHG8Q/ref=sr_1_8?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-8
Amazon,"HP Victus Gaming Laptop 15.6"" Core i5 8GB 512GB Silver 15-fa2013dx","30,999
.",,,"30,999
.",https://www.amazon.eg/-/en/HP-Victus-Gaming-Laptop-15-fa2013dx/dp/B0FDSCTCNF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-9
Amazon,"2017 Light Laptop, i5 - Powerful 5th Generation Processor, 13.3 Inch - 8 RAM - 128GB SSD - Backlit - Fast Operating System - Used in Premium Condition","13,000
.",,,"13,000
.",https://www.amazon.eg/-/en/2017-Light-Laptop-Generation-Processor/dp/B0FD7WBYJ9/ref=sr_1_10?dib=eyJ2IjoiMSJ9.yaoaIgJ9SjPUDLMU1KuLa7JdoHT8gAgVOxnvbfpEi3-5XMmrt9vKYbqqp-pCmCy7TK79lzhGqHYCJvyGVZ0lixM7-2FVW6rB7CuSYdkeZo4tXRwYblhNnBVDFonSt6JcAqSOI-MQ2lDAHj8uhVLCvxe4MG59TsodOga0_lIFaVcPIZn7LhPrII9dJibTMKEwNZulQKUs-y8OIIye8Wxe41Dfzx3CQCg3PtMlapSzSA6bwU6agHoUDBB-hHt14T-T680jx2XR2PEHPo7-mVEVsTeAGDqPorUuDJHR7SPrOBM.ZTDllIa3AswaIv6JKsARsNihxhb2OAJ5AwIZdUY_Hrc&dib_tag=se&keywords=laptop&qid=1771147463&sr=8-10
